"reply_id","user_id","full_text","view_count","bookmark_count","favorite_count","reply_count","retweet_count","quote_count","is_quote_status","lang","bookmarked","favorited","retweeted","created_at","user_mentions","name","username","first_name","last_name","location","bio","website","websites","followers_count","following_count","media_count","statuses_count","favourites_count","listed_count","fast_followers_count","normal_followers_count","followed_by","following","profile_banner_url","profile_url","avatar_url","verified","is_blue_verified","can_dm","can_media_tag","user_created_at"
"1830114927165784375","110312278","https://t.co/ZwkZekOKCW","127190",21,4179,27,499,18,false,"zxx",false,false,false,"1/9/2024, 12.26.15","","Anies Rasyid Baswedan","aniesbaswedan","Anies","Rasyid Baswedan","Indonesia","Akun resmi Anies Baswedan. Dikelola oleh tim. | 🍉 🦉","https://linktr.ee/anies.baswedan","https://linktr.ee/anies.baswedan",5324075,381,4610,16163,24037,1509,0,5324075,,false,"https://pbs.twimg.com/profile_banners/110312278/1714866149","https://www.x.com/aniesbaswedan","https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg",false,true,true,false,"1/2/2010, 10.23.45"
"1830132181278367818","110312278","https://t.co/uvranEOfDT","117253",62,5495,71,709,48,false,"zxx",false,false,false,"1/9/2024, 13.34.48","","Anies Rasyid Baswedan","aniesbaswedan","Anies","Rasyid Baswedan","Indonesia","Akun resmi Anies Baswedan. Dikelola oleh tim. | 🍉 🦉","https://linktr.ee/anies.baswedan","https://linktr.ee/anies.baswedan",5324075,381,4610,16163,24037,1509,0,5324075,,false,"https://pbs.twimg.com/profile_banners/110312278/1714866149","https://www.x.com/aniesbaswedan","https://pbs.twimg.com/profile_images/1786904204558426112/jfFxRQZS_normal.jpg",false,true,true,false,"1/2/2010, 10.23.45"
"1831194525554876504","1656208115803770880","Tired of bunions, plantar fasciitis, and hammertoes making walking a chore? Earthtreks shoes are designed with wide feet in mind! Their spacious 25% wider toe box and supportive design alleviate pain and discomfort, allowing you to walk freely and comfortably again.","6693",0,0,0,0,0,false,"en",false,false,false,"4/9/2024, 11.56.11","","Canles","canlesofficial","Canles","","Vancouver, Canada","👣 Engineered for walking | 👟 Comfy & versatile footwear for life's adventures | 🌿 Breathable, lightweight designs","https://canles.com/","https://canles.com/",4844,2,400,1029,0,54,0,4844,,false,"https://pbs.twimg.com/profile_banners/1656208115803770880/1721211254","https://www.x.com/canlesofficial","https://pbs.twimg.com/profile_images/1666678663084150784/41oyvaiH_normal.jpg",false,false,false,false,"10/5/2023, 15.03.23"
"1830116714178363730","1334853481019056128","@aniesbaswedan Bahas apa pak?
https://t.co/0ACME1h7wa","72984",19,299,25,15,4,true,"in",false,false,false,"1/9/2024, 12.33.21","aniesbaswedan","Maudy Asmara","Mdy_Asmara1701","Maudy","Asmara","DKI Jakarta, Indonesia","Capricorn girl 💮🌺 Random Tweet 😊PORNO, SPAM AUTO GUE BLOKIR!","","",248800,1913,11750,44155,134705,52,0,248800,,false,"https://pbs.twimg.com/profile_banners/1334853481019056128/1701184923","https://www.x.com/Mdy_Asmara1701","https://pbs.twimg.com/profile_images/1603554732202553345/n_kziDFc_normal.jpg",false,true,true,false,"4/12/2020, 20.34.23"
"1830125170859917354","1334853481019056128","@aniesbaswedan Masya Allah 
https://t.co/21OiM8Etg3","60707",10,433,7,62,0,true,"in",false,false,false,"1/9/2024, 13.06.57","aniesbaswedan","Maudy Asmara","Mdy_Asmara1701","Maudy","Asmara","DKI Jakarta, Indonesia","Capricorn girl 💮🌺 Random Tweet 😊PORNO, SPAM AUTO GUE BLOKIR!","","",248800,1913,11750,44155,134705,52,0,248800,,false,"https://pbs.twimg.com/profile_banners/1334853481019056128/1701184923","https://www.x.com/Mdy_Asmara1701","https://pbs.twimg.com/profile_images/1603554732202553345/n_kziDFc_normal.jpg",false,true,true,false,"4/12/2020, 20.34.23"
"1830138036526465373","47274731","@aniesbaswedan Saat Anies Baswedan Jadi Magnet Warga di CFD Jakarta Meski Gagal Maju di Pilkada 2024

https://t.co/1XyF0Cf5wL","32128",5,307,7,38,1,false,"in",false,false,false,"1/9/2024, 13.58.04","aniesbaswedan","Okezone","okezonenews","Okezone","","Jakarta","Official account of https://t.co/qT9eCbVhMP, MNC Media Group. Follow us for breaking news, current events, stories and special reports. #LengkapCepatBeritanya","http://Okezone.com","http://Okezone.com
http://www.okezone.com",1838387,60,767857,2055941,13899,1960,0,1838387,,false,"https://pbs.twimg.com/profile_banners/47274731/1709260708","https://www.x.com/okezonenews","https://pbs.twimg.com/profile_images/1810540685612982272/xGXr0xeX_normal.jpg",false,true,true,false,"15/6/2009, 13.14.53"
"1830125754044334452","774896104412372992","@aniesbaswedan Sederhana, tapi Ridwan Kamil ga bisa 

😌😌😌","65731",11,646,16,37,3,true,"in",false,false,false,"1/9/2024, 13.09.16","aniesbaswedan","Scarlett","moscato_choco","Scarlett","","On Cloud Wine","one who never takes anything too seriously; life and herself included","","",140,316,1499,10441,1460,2,0,140,,false,"https://pbs.twimg.com/profile_banners/774896104412372992/1543667191","https://www.x.com/moscato_choco","https://pbs.twimg.com/profile_images/866592936213065728/PcBMPy_o_normal.jpg",false,true,true,false,"11/9/2016, 16.03.23"
"1830116311940370727","1599695159440322561","@aniesbaswedan Tetap melanjutkan perubahan pakk, kami semua selalu support bapak🙌","42168",0,233,3,1,0,false,"in",false,false,false,"1/9/2024, 12.31.45","aniesbaswedan","Baraaa","diabara_","Baraaa","","bara a nya 3","— Mundus Lusus Est, Si Ludere Non Vis —","","",8092,7986,465,61341,14700,2,0,8092,,false,"https://pbs.twimg.com/profile_banners/1599695159440322561/1712525837","https://www.x.com/diabara_","https://pbs.twimg.com/profile_images/1810368033053093889/c0QTY2ri_normal.jpg",false,true,true,false,"5/12/2022, 16.20.32"
"1830169111722410159","231355136","@aniesbaswedan Pramono-Rano Karno Puji Kinerja Anies Baswedan di Jakarta

https://t.co/n98NwYK4CB","21667",1,76,6,11,1,false,"in",false,false,false,"1/9/2024, 16.01.33","aniesbaswedan","SINDOnews","SINDOnews","SINDOnews","","Jakarta Pusat, DKI Jakarta","Official Twitter account of https://t.co/9zRoRiNd7U, MNC Media Group.","http://Sindonews.com","http://Sindonews.com
http://sindonews.com",410637,187,75691,1140722,5859,661,0,410637,,false,"https://pbs.twimg.com/profile_banners/231355136/1684479196","https://www.x.com/SINDOnews","https://pbs.twimg.com/profile_images/1657283286463582209/-8HSjERq_normal.jpg",false,true,false,false,"28/12/2010, 15.22.15"
"1830120642773205206","132078023","@aniesbaswedan Momen Pramono-Rano Tak Sengaja Bertemu Anies di CFD Jakarta
https://t.co/974IBajyNX","41196",4,115,2,3,0,false,"in",false,false,false,"1/9/2024, 12.48.57","aniesbaswedan","iNews","officialinews_","iNews","","iNews Tower","Akun resmi Official iNews 

TikTok: OfficialiNews
Facebook: iNews
Instagram: officialinewstv
Youtube: Official iNews","https://www.youtube.com/channel/UCoSkllfpgmFHtbVK835QaQg","https://www.youtube.com/channel/UCoSkllfpgmFHtbVK835QaQg",433995,0,54492,240348,132,644,0,433995,,false,"https://pbs.twimg.com/profile_banners/132078023/1717741189","https://www.x.com/officialinews_","https://pbs.twimg.com/profile_images/1636704614966874114/90wa1guQ_normal.jpg",false,true,false,false,"12/4/2010, 13.26.10"
"1830115879712891097","2758558144","@aniesbaswedan keren kaos nya bah","39087",2,68,2,0,0,false,"in",false,false,false,"1/9/2024, 12.30.02","aniesbaswedan","hailoe","hailoenih","hailoe","","","UTD48 • belum punya prestasi untuk ditulis di bio.

૮ ˙Ⱉ˙ ა rawr!","https://clicky.id/hailoe","https://clicky.id/hailoe",561,459,455,10438,29,1,0,561,,false,"https://pbs.twimg.com/profile_banners/2758558144/1688199743","https://www.x.com/hailoenih","https://pbs.twimg.com/profile_images/1759547896813457408/E2q2gp8x_normal.jpg",false,true,true,false,"2/9/2014, 02.38.20"
