"User ID","Name","Username","Bio","Location","Profile URL","Profile Image URL","Tweet Count","Follower Count","Following Count","Favorites Count","Media Count","Can DM","Created At","Verified","Blue Verified","Default Profile","Default Profile Image","Protected"
"631701837","#MerdekaBelajar","Kemdikbud_RI","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi | Ministry of Education, Culture, Research, and Technology","Jakarta","https://x.com/Kemdikbud_RI","https://pbs.twimg.com/profile_images/1518794509811073024/W-5sAqpp_normal.jpg","36468","1896430","431","18537","15897","No","Tue Jul 10 02:53:35 +0000 2012","No","Yes","No","No","No"
"1225697079160274945","Puslapdik","puslapdik","Akun Resmi Pusat Layanan Pembiayaan Pendidikan, Sekjen Kemendikbudristek RI","","https://x.com/puslapdik","https://pbs.twimg.com/profile_images/1599970078417911808/joUjY4wK_normal.jpg","719","10120","218","150","353","No","Fri Feb 07 08:25:56 +0000 2020","No","No","Yes","No","No"
"1220182867239559169","KamiVokasi","KamiVokasi","Akun Resmi Direktorat Jenderal Pendidikan Vokasi, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi","DKI Jakarta","https://x.com/KamiVokasi","https://pbs.twimg.com/profile_images/1400158431391010820/k1f1e00-_normal.jpg","1017","6718","35","80","455","Yes","Thu Jan 23 03:14:19 +0000 2020","No","No","Yes","No","No"
"1245249011885289472","Pusat Prestasi Nasional","puspresnas","Pusat Prestasi Nasional - Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi. Dapatkan informasi terbaru seputar program dan ajang pengembangan talenta!","Indonesia","https://x.com/puspresnas","https://pbs.twimg.com/profile_images/1346006125326393344/NSn2a1Ys_normal.jpg","3835","18437","161","491","2147","Yes","Wed Apr 01 07:18:17 +0000 2020","No","No","Yes","No","No"
"1236835910735368193","MitrasDUDI","mitrasdudi","Akun Resmi Direktorat Kemitraan dan Penyelarasan Dunia Usaha dan Dunia Industri (DUDI), Direktorat Jenderal Pendidikan Vokasi, Kemendikbudristek RI","Jakarta, Indonesia","https://x.com/mitrasdudi","https://pbs.twimg.com/profile_images/1236837336219922432/kC9K7zdM_normal.jpg","612","1366","15","0","395","No","Mon Mar 09 02:07:25 +0000 2020","No","No","Yes","No","No"
"622482706","Direktorat SMK","direktoratsmk","Direktorat Sekolah Menengah Kejuruan. Kementerian Pendidikan dan Kebudayaan #smkbisa #smkhebat","Jakarta","https://x.com/direktoratsmk","https://pbs.twimg.com/profile_images/1301472013182066690/MiYHpd7v_normal.jpg","3024","10605","40","131","348","Yes","Sat Jun 30 03:53:40 +0000 2012","No","No","Yes","No","No"
"1379791985213460485","Hoeey","bapaklunih","kang retweet","Indonesia","https://x.com/bapaklunih","https://pbs.twimg.com/profile_images/1751077353726570496/m7O6t8DC_normal.jpg","2461","307","4074","5150","1","Yes","Wed Apr 07 13:43:55 +0000 2021","No","No","Yes","No","No"
"1065177907675377664","Alfi Syahrin","ggwfhd","","","https://x.com/ggwfhd","https://pbs.twimg.com/profile_images/1334576777985855489/3mQuRhff_normal.jpg","613","24","197","424","30","Yes","Wed Nov 21 09:39:38 +0000 2018","No","No","Yes","No","No"
"1826183803683176449","yudha subhan","YSubhan60357","","","https://x.com/YSubhan60357","https://pbs.twimg.com/profile_images/1826189781350703104/CJfUEfhw_normal.jpg","0","3","49","1","0","Yes","Wed Aug 21 09:05:57 +0000 2024","No","No","Yes","No","No"
"1826441147839082496","Hafsah Habib","hafsahhabib5","","","https://x.com/hafsahhabib5","https://pbs.twimg.com/profile_images/1826441361694097408/nrQuqZIp_normal.jpg","0","0","16","1","0","No","Thu Aug 22 02:08:48 +0000 2024","No","No","Yes","No","No"
